,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
7,1.0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41
14,1.0,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815
26,1.0,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08
30,1.0,0.61,0.485,0.145,1.3305,0.7829999999999999,0.2255,0.2865
36,1.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045
47,1.0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295
52,1.0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044
65,1.0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645
84,1.0,0.52,0.425,0.155,0.7735,0.297,0.123,0.255
99,1.0,0.465,0.34,0.11,0.34600000000000003,0.1425,0.073,0.113
106,1.0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059
112,1.0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225
120,1.0,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425
125,1.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525
129,1.0,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155
146,1.0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
157,1.0,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21
164,1.0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
166,1.0,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225
169,1.0,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485
171,1.0,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25
176,1.0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325
177,1.0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25
178,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18
190,1.0,0.67,0.55,0.155,1.5659999999999998,0.858,0.339,0.354
193,1.0,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41
195,1.0,0.69,0.55,0.2,1.8465,0.732,0.472,0.57
204,1.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
218,1.0,0.63,0.5,0.16,1.22,0.4905,0.3,0.345
223,1.0,0.575,0.455,0.185,1.156,0.5525,0.243,0.295
239,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
248,1.0,0.58,0.475,0.135,0.925,0.391,0.165,0.275
249,1.0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096
252,1.0,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555
270,1.0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065
288,1.0,0.595,0.475,0.17,1.0965,0.419,0.229,0.35
291,1.0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43
297,1.0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345
307,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
309,1.0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295
325,1.0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
328,1.0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293
339,1.0,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505
356,1.0,0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08
358,1.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
366,1.0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13
369,1.0,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371
372,1.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48
374,1.0,0.555,0.42,0.14,0.868,0.33,0.243,0.21
