1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.4234372
1.538462,0.09694194
1.428571,0.100163
1.333333,0.2513148
1.25,0.4070849
1.176471,0.2233663
1.111111,0.08599432
1.052632,0.03733592
1.0,0.01966441
0.952381,0.01103418
0.9090909,0.005867934
0.8695652,0.00296237
0.8333333,0.001481894
0.8,7.510091E-4
0.7692308,3.873295E-4
0.7407407,2.038373E-4
0.7142857,1.103845E-4
0.6896552,6.224383E-5
0.6666667,3.70603E-5
0.6451613,2.338677E-5
0.625,1.562979E-5
0.6060606,1.093892E-5
0.5882353,7.972896E-6
0.5714286,6.07648E-6
0.5555556,4.645612E-6
0.5405405,3.724531E-6
0.5263158,2.971987E-6
0.5128205,2.487249E-6
0.5,2.075726E-6
0.4878049,1.766053E-6
0.4761905,1.477637E-6
0.4651163,1.272705E-6
0.4545455,1.115527E-6
0.4444444,9.871404E-7
0.4347826,8.914417E-7
0.4255319,7.935046E-7
0.4166667,7.312636E-7
