,Fuel,Ea/R,intercept
0,C13_10_export.csv,20.170641534057395,-17.980793087589156
1,C10_10_export.csv,20.178783260001513,-17.803227887064914
2,C4_10_export.csv,23.125424728404496,-18.416243921955097
3,C5_10_export.csv,21.13754117673581,-17.483397336029316
4,C9_10_export.csv,20.58322300877895,-17.986871533271227
5,C14_10_export.csv,20.02059913470723,-17.947173319081777
6,C16_10_export.csv,20.01605886656717,-18.052870658488338
7,C12_10_export.csv,20.07631175836799,-17.87516232583077
8,C8_10_export.csv,20.54771428867281,-17.913095448483407
9,detailed_heptane_10_export.csv,19.305048493870753,-16.611193218367504
10,updatd_hexane_10_export.csv,20.80437584066376,-17.521468370929778
11,Updated_Heptane_10_export.csv,21.368542425112913,-17.916710565704363
12,C3_10_export.csv,23.909865301272006,-18.480222077620155
13,C11_10_export.csv,20.36617322354306,-17.978387302597305
14,C15_10_export.csv,20.080354843688024,-18.035012651137535
