,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
101,1.0,0.0,0.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011
584,1.0,1.0,0.0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185
779,1.0,0.0,0.0,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042
810,1.0,0.0,1.0,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02
996,1.0,1.0,0.0,0.675,0.53,0.195,1.4985,0.62,0.375,0.425
1171,1.0,1.0,0.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175
1730,1.0,0.0,1.0,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657
1795,1.0,1.0,0.0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
1908,1.0,0.0,0.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105
2031,1.0,0.0,1.0,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24
2210,1.0,0.0,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595
2239,1.0,0.0,1.0,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
2397,1.0,0.0,0.0,0.395,0.295,0.09,0.3025,0.14300000000000002,0.0665,0.0765
2471,1.0,0.0,1.0,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235
2575,1.0,0.0,1.0,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.3720000000000001
2721,1.0,1.0,0.0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095
2735,1.0,0.0,0.0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
2746,1.0,0.0,0.0,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945
3005,1.0,0.0,0.0,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675
3008,1.0,0.0,0.0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655
3193,1.0,0.0,0.0,0.375,0.29,0.095,0.213,0.096,0.041,0.061
3220,1.0,0.0,0.0,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058
