,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
460,1.0,1.0,0.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
474,1.0,1.0,0.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
483,1.0,1.0,0.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
571,1.0,0.0,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
1005,1.0,0.0,1.0,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
1298,1.0,1.0,0.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26
1388,1.0,1.0,0.0,0.49,0.385,0.15,0.7865,0.241,0.14,0.24
1508,1.0,0.0,1.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17
1747,1.0,0.0,0.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
2066,1.0,0.0,0.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
2110,1.0,1.0,0.0,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885
2289,1.0,0.0,0.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265
2904,1.0,0.0,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
2936,1.0,0.0,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255
