,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1569,1.0,1.0,0.0,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39
1720,1.0,1.0,0.0,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625
1978,1.0,1.0,0.0,0.505,0.405,0.18,0.606,0.239,0.1235,0.18
2212,1.0,0.0,1.0,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285
2590,1.0,1.0,0.0,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175
2642,1.0,1.0,0.0,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275
2767,1.0,0.0,1.0,0.655,0.53,0.195,1.388,0.5670000000000001,0.2735,0.41
3239,1.0,1.0,0.0,0.37,0.275,0.1,0.2225,0.093,0.026,0.08
3374,1.0,0.0,1.0,0.61,0.5,0.24,1.642,0.532,0.3345,0.69
3538,1.0,0.0,1.0,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665
