,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
3,1.0,1.0,0.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065
4,1.0,1.0,0.0,0.685,0.545,0.18,1.768,0.7495,0.392,0.485
5,1.0,1.0,0.0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5
6,1.0,1.0,0.0,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435
9,1.0,0.0,0.0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154
10,1.0,1.0,0.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
13,1.0,0.0,1.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48
15,1.0,0.0,1.0,0.35,0.26,0.09,0.198,0.0725,0.056,0.06
17,1.0,1.0,0.0,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515
18,1.0,0.0,1.0,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335
21,1.0,0.0,0.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
25,1.0,0.0,0.0,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855
27,1.0,0.0,0.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045
31,1.0,1.0,0.0,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565
33,1.0,0.0,1.0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305
36,1.0,1.0,0.0,0.475,0.375,0.14,0.501,0.192,0.1175,0.175
38,1.0,0.0,0.0,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275
39,1.0,0.0,1.0,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39
42,1.0,1.0,0.0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
44,1.0,1.0,0.0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161
47,1.0,1.0,0.0,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
48,1.0,1.0,0.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
53,1.0,0.0,1.0,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345
54,1.0,0.0,0.0,0.525,0.4,0.125,0.6965,0.369,0.1385,0.16399999999999998
59,1.0,0.0,1.0,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461
61,1.0,1.0,0.0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475
69,1.0,0.0,1.0,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41
76,1.0,0.0,1.0,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285
78,1.0,0.0,0.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008
85,1.0,0.0,0.0,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135
86,1.0,1.0,0.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
89,1.0,0.0,0.0,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965
93,1.0,0.0,0.0,0.375,0.28,0.085,0.3155,0.187,0.046,0.067
104,1.0,0.0,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
108,1.0,0.0,1.0,0.585,0.45,0.15,0.997,0.4055,0.28300000000000003,0.251
110,1.0,0.0,1.0,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39
113,1.0,1.0,0.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
123,1.0,0.0,1.0,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28
124,1.0,1.0,0.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52
127,1.0,0.0,1.0,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395
129,1.0,1.0,0.0,0.585,0.415,0.155,0.6985,0.3,0.146,0.195
131,1.0,0.0,0.0,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105
132,1.0,0.0,1.0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4
133,1.0,0.0,0.0,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12
136,1.0,1.0,0.0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
138,1.0,1.0,0.0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565
145,1.0,0.0,1.0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12
147,1.0,0.0,1.0,0.66,0.505,0.19,1.4385,0.6775,0.285,0.17800000000000002
148,1.0,1.0,0.0,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005
149,1.0,0.0,0.0,0.49,0.38,0.12,0.529,0.2165,0.139,0.155
155,1.0,1.0,0.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
156,1.0,0.0,0.0,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335
157,1.0,0.0,1.0,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235
159,1.0,0.0,1.0,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975
160,1.0,0.0,1.0,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215
162,1.0,0.0,0.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
167,1.0,0.0,0.0,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05
171,1.0,0.0,1.0,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185
180,1.0,0.0,1.0,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215
181,1.0,1.0,0.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
183,1.0,1.0,0.0,0.68,0.58,0.2,1.787,0.585,0.453,0.6
188,1.0,0.0,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
193,1.0,0.0,0.0,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12
194,1.0,1.0,0.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
196,1.0,0.0,0.0,0.29,0.225,0.07,0.101,0.036000000000000004,0.0235,0.035
197,1.0,0.0,1.0,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309
198,1.0,1.0,0.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
199,1.0,1.0,0.0,0.58,0.455,0.12,0.94,0.399,0.257,0.265
200,1.0,0.0,1.0,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219
203,1.0,1.0,0.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13
205,1.0,0.0,0.0,0.605,0.485,0.15,1.238,0.6315,0.226,0.33
215,1.0,0.0,1.0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37
221,1.0,1.0,0.0,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17
229,1.0,1.0,0.0,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695
230,1.0,0.0,0.0,0.485,0.365,0.09,0.6509999999999999,0.3165,0.132,0.18
244,1.0,1.0,0.0,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471
246,1.0,1.0,0.0,0.385,0.305,0.125,0.314,0.146,0.0555,0.08
