,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
12,1.0,0.0,1.0,0.505,0.41,0.125,0.642,0.289,0.133,0.155
22,1.0,0.0,0.0,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19
26,1.0,1.0,0.0,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135
30,1.0,0.0,0.0,0.485,0.375,0.11,0.464,0.2015,0.09,0.149
35,1.0,1.0,0.0,0.51,0.37,0.21,1.183,0.508,0.292,0.343
41,1.0,0.0,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274
56,1.0,1.0,0.0,0.615,0.5,0.165,1.327,0.6,0.3015,0.355
58,1.0,1.0,0.0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
63,1.0,0.0,0.0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165
66,1.0,1.0,0.0,0.62,0.485,0.175,1.271,0.531,0.3075,0.37
70,1.0,0.0,0.0,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1
75,1.0,0.0,1.0,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725
96,1.0,0.0,0.0,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037000000000000005
115,1.0,1.0,0.0,0.66,0.53,0.17,1.3259999999999998,0.519,0.2625,0.44
120,1.0,1.0,0.0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
122,1.0,1.0,0.0,0.63,0.485,0.185,1.167,0.5479999999999999,0.2485,0.34
128,1.0,1.0,0.0,0.67,0.54,0.195,1.619,0.74,0.3305,0.465
151,1.0,0.0,0.0,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415
163,1.0,0.0,0.0,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21
165,1.0,0.0,1.0,0.38,0.235,0.1,0.258,0.1055,0.054000000000000006,0.08
169,1.0,0.0,1.0,0.685,0.55,0.2,1.7725,0.813,0.387,0.49
173,1.0,1.0,0.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
175,1.0,1.0,0.0,0.59,0.47,0.17,0.9,0.355,0.1905,0.25
177,1.0,0.0,0.0,0.475,0.355,0.115,0.5195,0.279,0.08800000000000001,0.1325
182,1.0,0.0,1.0,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115
189,1.0,1.0,0.0,0.66,0.495,0.21,1.548,0.7240000000000001,0.3525,0.3925
202,1.0,0.0,1.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885
208,1.0,0.0,1.0,0.65,0.525,0.19,1.3685,0.5975,0.29600000000000004,0.4
214,1.0,0.0,0.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05
216,1.0,0.0,1.0,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295
217,1.0,1.0,0.0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24
218,1.0,0.0,1.0,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302
219,1.0,0.0,1.0,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175
234,1.0,0.0,0.0,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02
236,1.0,0.0,1.0,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314
257,1.0,1.0,0.0,0.29,0.21,0.075,0.275,0.113,0.0675,0.035
265,1.0,1.0,0.0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285
276,1.0,1.0,0.0,0.49,0.38,0.145,0.6725,0.249,0.181,0.21
281,1.0,0.0,0.0,0.575,0.44,0.15,0.983,0.486,0.215,0.239
286,1.0,0.0,1.0,0.41,0.335,0.115,0.4405,0.19,0.085,0.135
290,1.0,0.0,0.0,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
301,1.0,0.0,1.0,0.5,0.355,0.14,0.528,0.2125,0.149,0.14
302,1.0,0.0,1.0,0.645,0.51,0.19,1.4865,0.6445,0.29600000000000004,0.425
306,1.0,0.0,0.0,0.395,0.31,0.095,0.313,0.131,0.07200000000000001,0.093
307,1.0,0.0,1.0,0.6,0.475,0.17,1.1315,0.508,0.272,0.309
313,1.0,1.0,0.0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
314,1.0,1.0,0.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
317,1.0,0.0,0.0,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229
319,1.0,0.0,0.0,0.335,0.26,0.085,0.192,0.097,0.03,0.054000000000000006
323,1.0,0.0,0.0,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525
328,1.0,0.0,1.0,0.615,0.5,0.17,1.054,0.4845,0.228,0.295
349,1.0,1.0,0.0,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501
351,1.0,0.0,1.0,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344
366,1.0,1.0,0.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445
369,1.0,0.0,1.0,0.6,0.475,0.23,1.157,0.522,0.2235,0.36
374,1.0,1.0,0.0,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248
404,1.0,1.0,0.0,0.55,0.405,0.125,0.6509999999999999,0.2965,0.13699999999999998,0.2
421,1.0,0.0,1.0,0.31,0.245,0.095,0.15,0.0525,0.034,0.048
