,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
9,1.0,0.0,0.0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154
21,1.0,0.0,0.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
27,1.0,0.0,0.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045
42,1.0,1.0,0.0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
47,1.0,1.0,0.0,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
85,1.0,0.0,0.0,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135
86,1.0,1.0,0.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
104,1.0,0.0,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
110,1.0,0.0,1.0,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39
132,1.0,0.0,1.0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4
133,1.0,0.0,0.0,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12
136,1.0,1.0,0.0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
155,1.0,1.0,0.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
162,1.0,0.0,0.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
181,1.0,1.0,0.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
193,1.0,0.0,0.0,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12
198,1.0,1.0,0.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
221,1.0,1.0,0.0,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17
259,1.0,1.0,0.0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24
264,1.0,0.0,0.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26
267,1.0,0.0,0.0,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106
273,1.0,0.0,0.0,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41
292,1.0,1.0,0.0,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17
325,1.0,1.0,0.0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23
326,1.0,1.0,0.0,0.565,0.48,0.175,0.957,0.3885,0.215,0.275
344,1.0,0.0,1.0,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308
350,1.0,0.0,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27
353,1.0,1.0,0.0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32
356,1.0,1.0,0.0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205
361,1.0,0.0,0.0,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135
408,1.0,1.0,0.0,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415
432,1.0,0.0,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
433,1.0,1.0,0.0,0.67,0.55,0.155,1.5659999999999998,0.858,0.339,0.354
448,1.0,0.0,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
450,1.0,1.0,0.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
460,1.0,1.0,0.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
474,1.0,1.0,0.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
483,1.0,1.0,0.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
490,1.0,1.0,0.0,0.565,0.455,0.175,1.013,0.342,0.207,0.35
496,1.0,1.0,0.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
511,1.0,0.0,1.0,0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335
537,1.0,1.0,0.0,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
557,1.0,0.0,1.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32
571,1.0,0.0,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
577,1.0,0.0,1.0,0.525,0.41,0.13,0.99,0.3865,0.243,0.295
