,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
27,1.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045
104,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
221,1.0,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17
344,1.0,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308
353,1.0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32
537,1.0,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
649,1.0,0.47,0.375,0.105,0.513,0.232,0.142,0.13
913,1.0,0.615,0.5,0.165,1.1765,0.488,0.244,0.345
1037,1.0,0.52,0.425,0.155,0.7735,0.297,0.123,0.255
1160,1.0,0.555,0.435,0.135,0.858,0.377,0.1585,0.29
1209,1.0,0.345,0.255,0.08,0.16899999999999998,0.06,0.0425,0.054000000000000006
1296,1.0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295
1380,1.0,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145
1426,1.0,0.46,0.365,0.115,0.4485,0.165,0.083,0.17
1446,1.0,0.445,0.33,0.1,0.4370000000000001,0.163,0.0755,0.17
1498,1.0,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045
1520,1.0,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07
1654,1.0,0.43,0.335,0.12,0.444,0.155,0.1145,0.14
1675,1.0,0.45,0.36,0.11,0.447,0.203,0.08199999999999999,0.13
1786,1.0,0.55,0.425,0.15,0.8059999999999999,0.376,0.171,0.245
1856,1.0,0.585,0.475,0.12,0.945,0.41,0.2115,0.28
1887,1.0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11
1936,1.0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
2033,1.0,0.43,0.34,0.125,0.384,0.1375,0.061,0.146
2086,1.0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293
2127,1.0,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195
2473,1.0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
2478,1.0,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462
3019,1.0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
3187,1.0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51
3191,1.0,0.48,0.38,0.13,0.6175,0.3,0.142,0.175
3364,1.0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195
3387,1.0,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285
3454,1.0,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615
3465,1.0,0.485,0.38,0.15,0.605,0.2155,0.14,0.18
3540,1.0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325
3679,1.0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
3689,1.0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586
