,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
1,1.0,14.4208,0.0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05,9.138655541830577,9.6
19,1.0,0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5,22.295554370253367,22.0
22,1.0,0.04294,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,21.266545948583577,20.6
42,1.0,0.03466,35.0,6.06,0,0.4379,6.0310000000000015,23.3,6.6407,1,304,16.9,362.25,7.83,18.885534906106678,19.4
44,1.0,10.8342,0.0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79,7.725023643384574,7.5
65,1.0,1.2074200000000002,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,17.616861880232612,17.4
80,1.0,5.87205,0.0,18.1,0,0.693,6.405,96.0,1.6768,24,666,20.2,396.9,19.37,11.809085725394397,12.5
89,1.0,1.35472,0.0,8.14,0,0.5379999999999999,6.072,100.0,4.175,4,307,21.0,376.73,13.04,14.547573946084535,14.5
96,1.0,19.6091,0.0,18.1,0,0.6709999999999999,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,15.399778274878539,15.0
99,1.0,3.4742800000000003,0.0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,22.382408900390576,21.9
102,1.0,0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,19.418981979444265,18.9
112,1.0,0.04203,28.0,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.483371827541053,22.9
125,1.0,11.8123,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74,8.600115424548669,8.4
136,1.0,0.00632,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,15.3,396.9,4.98,23.698150045040432,24.0
148,1.0,0.02498,0.0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,16.60793821144121,16.5
157,1.0,12.2472,0.0,18.1,0,0.584,5.8370000000000015,59.7,1.9976,24,666,20.2,24.65,15.69,11.075941059139783,10.2
188,1.0,0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,21.865270344829998,22.0
192,1.0,1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403,14.7,321.02,15.12,16.477167564522965,17.0
195,1.0,0.06466000000000001,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97,22.75333988149627,22.5
225,1.0,17.8667,0.0,18.1,0,0.6709999999999999,6.223,100.0,1.3861,24,666,20.2,393.74,21.78,10.111535043311637,10.2
254,1.0,0.11425,0.0,13.89,1,0.55,6.372999999999998,92.4,3.3633,5,276,16.4,393.74,10.5,22.599190299648345,23.0
255,1.0,8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12,12.555159983499212,13.1
271,1.0,2.3139,0.0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,18.826717980176422,19.1
290,1.0,15.8744,0.0,18.1,0,0.6709999999999999,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,10.991705809559988,10.9
309,1.0,0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.748690905622507,18.5
321,1.0,0.49298,0.0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54,22.110640463681786,22.8
325,1.0,0.04379,80.0,3.37,0,0.398,5.787000000000001,31.1,6.6115,4,337,16.1,396.9,10.24,20.508579441089164,19.4
329,1.0,9.91655,0.0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97,6.0176841620768275,6.3
367,1.0,0.25356,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5,16.94221037856205,16.2
377,1.0,0.01096,55.0,2.25,0,0.389,6.4529999999999985,31.9,7.3073,1,300,15.3,394.72,8.23,21.618685757480655,22.0
387,1.0,1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,14.7,343.28,12.12,16.02327042388803,15.3
401,1.0,0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65,20.41796281154995,20.7
413,1.0,0.03584,80.0,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.653217510062216,23.5
415,1.0,0.22489,12.5,7.87,0,0.524,6.377000000000002,94.3,6.3467,5,311,15.2,392.52,20.45,15.241189260263427,15.0
