Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
0.6118,-0.5489,-0.1053,0.0885,-0.2609,5.6328,0.9686018051742808,0.0
1.0486,-0.5246,-0.0154,-0.0198,-1.287,5.5186,0.987508430900514,0.0
-0.1065,-0.614,-0.2201,0.1937,-1.2642,6.2752,0.9543807822669657,0.0
-0.3136,-0.569,-0.2111,0.1184,0.6791,6.593,0.958046757379713,0.0
0.8041,-0.5297,-0.051,0.0459,-0.0186,5.5162,0.9642832015234674,0.0
1.0399,-0.4842,-0.0534,0.0435,-0.0972,5.2318,0.9818830208606892,0.0
1.0391,-0.5505,-0.0098,-0.0047,-1.1149,5.5405,0.9867593624699516,0.0
1.1842,-0.4805,0.0446,-0.0204,-1.2548,5.2975,0.9697403190205612,0.0
1.0631,-0.5291,-0.0125,-0.0239,-1.4162,5.5365,0.9881456268409377,0.0
1.0189,-0.4868,-0.0332,0.0252,-0.9179,5.3376,0.9824020351005294,0.0
