Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-2.4183,-0.7255,-0.3059,-0.145,2.6083,12.6545,0.9242225544968841,0.9712647494636136
-2.3448,-0.7269,-0.3711,-0.1178,2.9498,12.3471,0.9390707087727996,0.9332558970870288
-3.5853,-0.7826,-0.3021,-0.1757,4.2299,14.1404,0.9615171022805544,0.6767622795709425
-2.2425,-0.7282,-0.2994,-0.1536,2.2187,12.4502,0.9297953717331868,0.9404845334819472
-1.6884,-0.7168,-0.3387,-0.0888,2.4076,11.5699,0.8929412952789413,0.9679925594889536
-2.3854,-0.7325,-0.3002,-0.1899,1.9801,12.7505,0.9383283100814268,0.9569587315367384
-2.1144,-0.733,-0.3269,-0.1239,2.4388,12.2141,0.9310442282642636,0.044233590557801294
-1.8311,-0.6827,-0.3349,-0.1005,2.4089,11.7268,0.9143006540986972,0.9070685723096424
-2.0987,-0.7097,-0.3519,-0.0954,3.0608,11.9859,0.911742031689186,0.9494802657946756
-2.6284,-0.7178,-0.2928,-0.1678,2.4842,12.9712,0.9356832255987858,-9.396484152118024
-2.0435,-0.7108,-0.2252,-0.2543,1.4971,12.5413,0.9241075390187704,0.8670060544165535
-1.8319999999999999,-0.7033,-0.364,-0.1016,2.5549,11.710999999999999,0.9360188325626164,0.9013974283846404
-2.1089,-0.7119,-0.3535,-0.101,2.8969,12.0366,0.9148561624618878,0.9691681739761174
-2.18,-0.7081,-0.3547,-0.1019,3.2945,12.071,0.925359079883326,0.8983689956556863
-2.1712,-0.7015,-0.2386,-0.2808,2.3196,12.6204,0.9234232230057576,-11.387229172383499
-2.1019,-0.7083,-0.3316,-0.1115,2.0642,12.1424,0.9211753071350952,-1.0939387923537345
-2.4972,-0.7581,-0.3283,-0.1326,3.0868,12.6689,0.9202027293719832,0.8484431688044979
-2.2776,-0.7149,-0.3153,-0.1527,2.5141,12.4447,0.9422175433536776,0.7330363606833785
-2.8747,-0.725,-0.2614,-0.1894,2.5962,13.3474,0.9395022996685768,0.5132954105525557
-2.0540000000000003,-0.6878,-0.221,-0.2362,1.9025,12.512,0.9307368565080208,0.7474849717112018
-2.0783,-0.7096,-0.2208,-0.2576,1.3895,12.5753,0.9206177154637142,0.9914001304094214
-2.8301,-0.7656,-0.3046,-0.1781,2.9337,13.2546,0.9447255512838688,0.9578846132161241
-2.8375,-0.7403,-0.2553,-0.2467,2.4845,13.4626,0.9493555095243208,0.4702202265111121
-2.1656,-0.7104,-0.2971,-0.1747,2.6735,12.3639,0.9224521393052086,0.9661278451210294
-3.2997,-0.7365,-0.3237,-0.192,4.2438,13.6754,0.9597654477491152,0.9716668828473696
-1.9364,-0.7299,-0.3137,-0.1466,2.1848,12.0646,0.9306336990692622,0.3667647418804635
-2.9876,-0.7547,-0.2779,-0.2164,2.8366,13.5676,0.9534937229362328,0.8710473055979584
-3.4551,-0.7874,-0.3192,-0.1892,3.4331,14.0614,0.9671467717421818,0.7317162333066894
-2.1304,-0.7382,-0.3621,-0.0466,3.0912,11.9436,0.9073447597579732,0.08572978019794764
-1.9895,-0.7099,-0.3769,-0.0742,2.9729,11.7757,0.8983527848072113,0.959952484683078
-2.367,-0.7044,-0.2845,-0.2202,2.408,12.7189,0.934698332809872,0.8089389131702852
-2.6688,-0.7741,-0.3309,-0.1558,3.1222,12.9542,0.9328208320923076,0.8711078788515765
-2.1512,-0.7132,-0.3167,-0.1544,2.3104,12.3142,0.9384959641943292,0.9480068259559852
-2.3489,-0.7544,-0.3183,-0.1682,1.9167,12.6607,0.9486312749625028,0.2681744434789286
-2.3241,-0.7356,-0.2961,-0.1821,1.9893,12.6884,0.9472644121185892,0.9386356255339742
-2.2619,-0.7354,-0.3647,-0.0971,2.4244,12.2576,0.9448646918493344,0.7721297205375799
-1.9094,-0.7108,-0.3437,-0.1155,2.512,11.865,0.922547050750683,0.9020889304582856
-2.4712,-0.7363,-0.3163,-0.161,2.0433,12.8277,0.9461723741293137,0.8081140896626167
-2.8418,-0.7471,-0.2767,-0.2447,2.8494,13.3607,0.9345084795709424,0.9257852896850968
-2.102,-0.7365,-0.2702,-0.2148,2.4283,12.4206,0.9163038667369984,0.5576921439196901
-2.302,-0.7453,-0.3425,-0.1259,2.248,12.4725,0.9327222378604552,0.9670296008234608
-2.138,-0.6678,-0.2711,-0.1835,1.9937,12.3806,0.9357469297248764,-2.229464018238449
-2.8687,-0.7147,-0.2126,-0.2672,2.1011,13.6173,0.9400610183637444,0.982508829465957
-2.1504,-0.7559999999999999,-0.3091,-0.145,1.4425,12.3914,0.9380779710078556,0.43232780917774494
-2.7126,-0.7402,-0.3299,-0.1179,2.8215,12.8911,0.929862881568122,0.7807914004192669
-2.074,-0.7088,-0.3539,-0.0973,2.6322,11.9963,0.9185667536963394,0.9850357717894928
-1.9904,-0.7,-0.3137,-0.1183,1.8875,12.0255,0.9372796843459562,-1.4835381492657889
-2.6104,-0.7143,-0.23800000000000002,-0.2609,2.1556,13.2363,0.93926543320871,0.9457618209425848
-2.1526,-0.7102,-0.3092,-0.1057,2.6659,12.1909,0.907709052191868,0.3952714931108803
-2.0361,-0.7207,-0.3342,-0.1107,2.5515,12.0336,0.9098312930160776,0.8587758695576782
-2.5699,-0.7198,-0.2736,-0.207,1.8957,13.0536,0.934784702724628,0.985086762553607
-2.4482,-0.7364,-0.3182,-0.1646,3.0336,12.6774,0.9289767219732924,0.9542661999065692
-2.2287,-0.7156,-0.3893,-0.0708,3.257,12.023,0.9268545964010444,0.8271132687645714
-3.0682,-0.7079,-0.0693,-0.4867,1.8194,14.4315,0.9568243173122146,0.7316490792061218
-2.2936,-0.733,-0.3459,-0.1685,3.1702,12.3832,0.9318382560088044,0.4664567656668783
-2.0369,-0.7187,-0.2754,-0.2121,1.9633,12.3751,0.9302080768523928,0.4984956946034893
-1.9483,-0.7245,-0.3687,-0.0744,2.42,11.8058,0.9335194143314844,-0.0009054645899153614
-2.6549,-0.7490000000000001,-0.2828,-0.2357,2.5692,13.1746,0.9487567764525516,0.6692604270399065
-2.0428,-0.6774,-0.3071,-0.1184,2.2688,12.067,0.9241677692937182,0.9835733655291179
-2.0658,-0.6759999999999999,-0.2414,-0.2119,2.3534,12.3325,0.903135312723272,0.953689496313464
-2.4562,-0.7231,-0.3236,-0.1534,2.944,12.6464,0.9516645533503836,0.9823712813473516
-2.2955,-0.6737,-0.2292,-0.2352,2.2827,12.7311,0.9119280550282884,0.7884885980388625
-1.8857,-0.7090000000000001,-0.3581,-0.0844,2.2859,11.7823,0.917461971366698,0.6611820954847502
-2.7596,-0.7619,-0.275,-0.2397,2.9131,13.332,0.933404043515342,0.897800537248908
-2.8876,-0.7601,-0.2864,-0.2097,3.0605,13.3976,0.9459639892797356,0.9825712510347572
-2.3837,-0.6990000000000001,-0.2837,-0.192,2.3913,12.6837,0.9321367580425006,0.9176006008753116
-2.2334,-0.7176,-0.3231,-0.1323,2.3127,12.3668,0.9195145243415332,0.9473626847594104
-2.4511,-0.6942,-0.2725,-0.1911,2.2278,12.7849,0.9325854395115559,0.11397783491851733
-2.4873,-0.723,-0.2962,-0.1839,2.4132,12.8062,0.9236677496925672,0.8068396340358825
-2.4148,-0.6802,-0.20600000000000002,-0.2491,1.7469999999999999,12.9624,0.9271029717755304,0.4493518518707244
-2.6052,-0.7355,-0.2747,-0.1967,2.363,13.0609,0.9316455706435536,0.909782352403376
-1.8419999999999999,-0.7462,-0.3868,-0.0457,3.1461,11.6094,0.909820776496544,0.8403231241785707
-2.2763,-0.7272,-0.3949,-0.0693,2.968,12.1086,0.9360452939078154,0.924148919334148
-2.6388,-0.7632,-0.3288,-0.1302,2.5881,12.9162,0.9356081976173184,0.9113059923485548
-3.4145,-0.8338,-0.4191,-0.1225,4.8506,13.6188,0.96054104887258,0.19516746277852007
-1.9977,-0.7573,-0.3643,-0.0428,2.7398,11.8122,0.9171295178926092,0.9791357232965644
-2.8722,-0.7774,-0.3422,-0.1445,3.1882,13.1791,0.9486617834200426,0.9005557274829157
-2.1332,-0.7302,-0.3424,-0.128,2.5879,12.2103,0.9291606665491612,0.9666495405712788
-2.0839,-0.7043,-0.3321,-0.1382,2.3895,12.15,0.9323533957080063,0.9527299969705141
-3.3188,-0.7842,-0.3342,-0.201,4.2987,13.7748,0.9424219399404978,0.9904800309073032
-1.6984,-0.7239,-0.3623,-0.0689,2.6098,11.5222,0.9160272603789492,0.8614328139559541
-2.0353,-0.6782,-0.3305,-0.1244,2.9461,11.9536,0.931667158475978,0.8933017597401288
-1.8059,-0.7189,-0.321,-0.1265,1.6967,11.87,0.9401430395555528,0.3704821431380673
-2.1256,-0.6921,-0.3289,-0.1247,2.8602,12.0988,0.9265540161551074,0.9775054094240516
-2.1759,-0.723,-0.3405,-0.0999,2.3573,12.2171,0.9109745490200076,0.9846735175860714
-2.7601,-0.7342,-0.327,-0.1464,3.1051,12.9911,0.94108300427626,0.9750218899553028
-2.2,-0.7192,-0.3079,-0.1741,2.0985,12.4244,0.9302115503820206,0.4788367609080887
