,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
261,1.0,0.225,0.17,0.05,0.0515,0.019,0.012,0.017
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15
547,1.0,0.385,0.29,0.1,0.2575,0.1,0.061,0.086
691,1.0,0.22,0.16,0.05,0.049,0.0215,0.01,0.015
735,1.0,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445
774,1.0,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004
796,1.0,0.385,0.28,0.125,0.244,0.102,0.038,0.085
912,1.0,0.575,0.465,0.175,1.099,0.4735,0.202,0.35
1017,1.0,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385
1216,1.0,0.415,0.305,0.1,0.325,0.156,0.0505,0.091
1789,1.0,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975
1794,1.0,0.325,0.25,0.055,0.166,0.076,0.051,0.045
1910,1.0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44
2046,1.0,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
2531,1.0,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965
2685,1.0,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125
2710,1.0,0.375,0.29,0.1,0.219,0.0925,0.038,0.075
2722,1.0,0.225,0.17,0.07,0.0565,0.024,0.013,0.016
3023,1.0,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08
3164,1.0,0.3,0.23,0.075,0.15,0.0605,0.042,0.045
3474,1.0,0.3,0.225,0.075,0.1345,0.057,0.028,0.044
3729,1.0,0.225,0.165,0.055,0.059,0.027000000000000003,0.0125,0.015
