,y_predicted,y_actual,Relative Error
204,6.2831279442579575,6.419994928147142,0.021318861684628394
62,7.147210201780721,7.520234556474628,0.0496027553253305
211,6.885089362066741,6.90975328164481,0.0035694356329026675
407,6.509693989082901,6.569481420414296,0.00910078398967817
80,5.824462105772252,5.707110264748875,0.020562392450733595
79,6.690080364418916,6.952728644624869,0.03777628807777573
316,7.793118521612354,7.855932199718614,0.00799570012945251
103,5.816589398240602,6.091309882077698,0.04510039534278151
400,6.277681942193685,6.061456918928017,0.03567212077189985
187,6.223767744348093,5.932245187448011,0.04914202762841163
67,6.716823411565598,7.16703787691222,0.06281736933425944
201,6.61132342050496,6.927557906278317,0.04564876830358342
418,8.171040537048341,8.52158353971753,0.041135899335537
262,7.222638616561833,7.495541943884256,0.036408751944226034
51,7.385190094311458,7.266827347520591,0.016288091230246667
420,5.956816786957363,5.886104031450156,0.01201350759846932
146,5.8850109198379155,6.186208623900494,0.04868857847743723
401,6.405236393352862,6.230481447578482,0.028048385545277475
77,6.425135056609653,6.180016653652572,0.03966306511685669
37,5.8318347194533855,6.089044875446846,0.04224146171604378
410,6.711971461456411,6.741700694652055,0.004409752752629157
412,6.5410884719545965,6.529418838262226,0.0017872392599456476
432,7.784721495006866,7.884952945759814,0.012711737335965707
139,5.573676244297001,5.602118820879701,0.00507711055265221
60,6.541401088841247,6.401917196727186,0.021787831336739033
50,7.577769568592047,7.5485559791698735,0.0038700897897277478
356,7.031576776778732,7.288244401020124,0.035216659886634256
265,8.88511698499387,8.735525185733225,0.017124534138480446
426,7.964760079578039,7.727535110475448,0.0306986594963521
188,7.535298573925967,7.154615356913663,0.0532080619322801
287,7.363912246968126,7.259819610363186,0.014338184995168568
427,7.504899438546609,7.630461261783627,0.016455338534497477
327,7.110558250497406,7.199678345691172,0.012378343991867668
7,6.156849548844896,5.814130531825066,0.05894587593860739
216,6.135727622767641,6.003887067106539,0.021959199796314707
203,5.896896090418999,5.652489180268651,0.04323881078861833
78,7.345394285958948,7.903226808730733,0.07058288168518016
130,5.920337015727753,5.771441123130016,0.02579873716479794
192,6.847638376774537,7.1929342212158,0.04800486613971822
73,7.003829407907432,7.183111701743281,0.02495886201969244
74,6.547880940370538,6.434546518787453,0.01761342796297664
69,7.60348450755616,7.237778191923443,0.050527427883988535
366,6.853450521727277,6.669498089857879,0.027581150693952377
264,8.236385428506592,8.63141433550626,0.04576641690976111
429,6.818450729014835,6.56244409369372,0.039010867241844924
143,5.60608075722587,5.631211781821365,0.004462809350666444
57,6.676903608142336,7.284134806195205,0.08336353104508921
307,8.318805356492867,8.314097335405807,0.0005662696618923137
118,5.671829424284928,5.424950017481403,0.04550814403966465
209,7.457835911408583,7.1459844677143876,0.04364009537148342
352,6.838409624422795,6.484635235635252,0.0545557885574556
148,5.700757449811492,5.8888779583328805,0.031945051307302755
288,7.183476343451079,7.090076835776092,0.01317327157918783
341,6.836294975007323,6.419994928147142,0.06484429528674542
83,5.793764707511993,5.572154032177765,0.039771096429582466
266,9.421525697077854,8.965079015408355,0.0509138492683668
296,9.065097176863823,8.713582005421628,0.040341064240111635
197,7.08794290569884,7.358193752733032,0.036727878622904366
409,6.448253870629143,6.280395838960195,0.026727301267803427
250,6.726001979117355,7.132497551660044,0.05699203814631232
185,6.4894856293869605,6.548219102762372,0.008969381209409308
39,5.416922017873514,5.384495062789089,0.006022283372218056
402,6.582745432937562,6.55250788703459,0.0046146523475085145
295,8.54633598538379,8.653819788948063,0.012420388474179053
167,7.014937667136557,6.8501261661455,0.024059629997120874
102,5.176101785456087,4.990432586778736,0.03720503091640761
252,6.980291902650148,7.213768308118642,0.03236538733933705
249,7.171441758126939,7.4360278163518485,0.0355816391169334
85,7.460294416182903,7.110696122978827,0.04916512914598031
347,7.0456531828857925,6.927557906278317,0.01704717278515252
44,7.548705996773277,7.490529402060711,0.007766686650553827
141,5.429772503864785,5.247024072160486,0.03482896765690873
212,7.083407798340804,7.208600337960199,0.01736710786421822
289,7.078460451776004,6.985641817639208,0.013287058878745059
263,6.824243699258035,7.01211529430638,0.026792428128055892
416,6.982502513348802,7.550661243105336,0.07524622168360834
417,8.200344398049815,8.428799040653642,0.027104056165290998
283,7.665751343376927,7.652070746116482,0.0017878294273989204
45,6.896618819404573,6.680854678790215,0.0322958889226174
53,5.756300791599035,5.7745515455444085,0.0031605491441938733
422,8.010804963463592,8.357962965845681,0.04153619773152023
404,6.921488603102736,7.074116816197362,0.021575585625778586
36,5.42112216940129,5.393627546352362,0.005097612471873805
61,6.900288856901042,7.112327444710911,0.029812827018749204
111,6.2249063759418535,5.998936561946683,0.03766831198525671
215,6.710680362353114,6.659293919683638,0.007716500170924627
411,6.515612694588747,6.437751649736401,0.012094446802018889
40,5.612472019915449,5.717027701406222,0.018288468580457466
