,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
9,1.0,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,17.644708428546178,18
20,1.0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17.09306790436407,17
121,1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,19.433879994674246,20
127,1.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,18.487292123800373,19
143,1.0,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11.368087923855711,11
150,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,15.656848900091346,16
178,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,13.494062005357216,13
186,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,15.391574003549717,16
214,1.0,0.635,0.51,0.155,1.156,0.428,0.289,0.315,16.987958374265475,18
239,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14.01216975170371,14
240,1.0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20.079926234780103,20
242,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,15.84597122647394,16
249,1.0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12.608865291378459,12
307,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15.3490400257422,15
309,1.0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15.400394163806265,15
325,1.0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14.521042308710163,14
335,1.0,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13,12.368923730894453,12
351,1.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,18.360048141260073,19
360,1.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,19.54997670951358,20
384,1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16.367958500327333,16
389,1.0,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17.478314544132484,17
409,1.0,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,23.987393408301145,24
442,1.0,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,13.558294582111904,13
473,1.0,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,14.902801941657563,15
475,1.0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18.35067717710402,18
513,1.0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24,18.47716828569507,19
521,1.0,0.565,0.44,0.175,1.122,0.393,0.2,0.375,20.65040638461381,20
525,1.0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,14.888790959379023,15
577,1.0,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18.26162520066032,18
623,1.0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,14.416250520868902,15
633,1.0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,18.259095186716294,19
634,1.0,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13.061046237932665,13
731,1.0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586,11.143211667449542,11
749,1.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,11.642179047619432,12
773,1.0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15.0691373383709,15
794,1.0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,15.379337809491357,16
811,1.0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,12.930952509830986,13
918,1.0,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17.568337116415375,17
933,1.0,0.615,0.525,0.155,1.1375,0.3670000000000001,0.236,0.37,20.553558276598025,20
950,1.0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15.192459252943573,15
1041,1.0,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,17.15654633296071,18
1045,1.0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16.14455152206671,16
1059,1.0,0.56,0.45,0.16,0.922,0.4320000000000001,0.17800000000000002,0.26,15.38664108955491,15
1157,1.0,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205,14.561919511183525,15
1208,1.0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,13.365582069047264,14
1218,1.0,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31,15.641963741494592,15
1236,1.0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17.513722311257617,17
1238,1.0,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,17.98761438144463,18
1242,1.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12.169477364145212,12
1284,1.0,0.57,0.465,0.125,0.8490000000000001,0.3785,0.1765,0.24,14.439312025372532,15
1346,1.0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16.2479407714919,16
1348,1.0,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,18.469839463273214,19
1397,1.0,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17.54679164670832,17
1404,1.0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12.0751751308147,12
1419,1.0,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,12.984459751129592,13
1427,1.0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16.276037634015008,16
1430,1.0,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12.06388332970702,12
1434,1.0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13.546477685932151,13
1496,1.0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18.519425017086526,18
1508,1.0,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23.000494001120344,23
1514,1.0,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15.3971792249698,15
1562,1.0,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14.187486811734798,14
1592,1.0,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,13.97788096473343,14
1595,1.0,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195,14.557900344952522,15
1699,1.0,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18.00951740065055,18
1703,1.0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,12.63597237169424,13
1707,1.0,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11.249119306548112,11
1714,1.0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,16.39446443684496,17
1768,1.0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12.29989452701398,12
1854,1.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,10.919676585714376,11
1877,1.0,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15.223092874864859,15
1895,1.0,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,11.607435175300722,12
1902,1.0,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,11.946957957564546,12
2061,1.0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20.453822446637027,20
2095,1.0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,16.85861613391051,17
2147,1.0,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835,15.378177089000861,15
2217,1.0,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14.178819233025152,14
2229,1.0,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,15.821227190267264,16
2252,1.0,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16.50357965389569,16
2352,1.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,22.867332898290385,23
2361,1.0,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20.560230617815336,20
2397,1.0,0.53,0.43,0.17,0.775,0.35,0.152,0.235,16.10712656388123,17
2426,1.0,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,16.661304777523686,17
2461,1.0,0.655,0.515,0.145,1.25,0.5265,0.28300000000000003,0.315,15.323753434374954,15
2465,1.0,0.53,0.42,0.13,1.001,0.34,0.226,0.265,16.335933217014468,17
2497,1.0,0.63,0.515,0.165,1.352,0.488,0.349,0.45,19.63149709484233,20
2504,1.0,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16.75462230887674,16
2512,1.0,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,18.833794537192926,19
2552,1.0,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,17.82990763675304,18
2563,1.0,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,14.722785925138744,15
2564,1.0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,11.922957447255145,12
2599,1.0,0.46,0.355,0.14,0.4935,0.21600000000000005,0.133,0.115,12.895334457193979,13
