,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
21,1.0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,4.857687848746808,5
24,1.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8.074543949185873,8
33,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,8.864380680907363,9
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6.073495273355985,6
69,1.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8.207986899109974,8
74,1.0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,8.954136217049872,9
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8.080252294551574,8
104,1.0,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6.024550622651833,6
114,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.219,7.707438451437643,8
116,1.0,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,8.914698380130751,9
139,1.0,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,7.884192300578077,8
140,1.0,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7.346659790958695,7
152,1.0,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,7.797047509945704,8
199,1.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6.212132904348305,6
216,1.0,0.4,0.315,0.1,0.3225,0.14300000000000002,0.0735,0.091,5.874874653916303,6
235,1.0,0.72,0.565,0.2,1.787,0.718,0.385,0.529,10.577022316478914,11
241,1.0,0.405,0.3,0.09,0.269,0.103,0.067,0.11,6.084585764994026,6
261,1.0,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,3.810257263127283,4
273,1.0,0.62,0.51,0.175,1.2705,0.5415,0.32299999999999995,0.3225,8.751264985903356,9
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8.120404993196733,8
282,1.0,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,10.78644605204098,11
314,1.0,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,9.739352132502304,10
331,1.0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7.026035148986201,7
336,1.0,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8.00244327666901,8
346,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10.172243800749179,10
388,1.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7.298998727588174,7
432,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,11.897839380913135,12
460,1.0,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10.262007557157663,10
468,1.0,0.69,0.53,0.19,1.5955,0.6779999999999999,0.331,0.48,9.696335889622981,10
472,1.0,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,7.720898882629917,8
484,1.0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,8.947625696098973,9
514,1.0,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6.316841800089183,6
515,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,11.813862170055906,12
517,1.0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,7.666753071570696,8
518,1.0,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6.01571534094327,6
520,1.0,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,8.741485145074256,9
547,1.0,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,5.810760538492609,6
571,1.0,0.62,0.485,0.155,1.1945,0.5105,0.271,0.35200000000000004,8.722316784428871,9
582,1.0,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,8.989275869109399,9
603,1.0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4.048697121953689,4
644,1.0,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,9.878979992778671,10
647,1.0,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9.007526406995687,9
655,1.0,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,7.87406331953884,8
671,1.0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7.301362201293793,7
675,1.0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,7.973675983117097,8
703,1.0,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9.02245537677569,9
727,1.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,11.69435341839297,12
735,1.0,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,4.835296656957627,5
760,1.0,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8.036765835461932,8
795,1.0,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,7.787887921838564,8
832,1.0,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,9.205027417824057,9
868,1.0,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8.342737169168272,8
889,1.0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018000000000000002,3.945441799791845,4
908,1.0,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9.298426605558985,9
915,1.0,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,8.834877697502725,9
922,1.0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6.292101648692826,6
962,1.0,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,8.347195627439573,8
971,1.0,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,8.908203948200377,9
987,1.0,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,4.857349706584416,5
1017,1.0,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,4.7960080357972625,5
1028,1.0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7.120297038077781,7
1034,1.0,0.61,0.45,0.16,1.136,0.414,0.311,0.3,8.958524712608337,9
1049,1.0,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,7.859570530037541,8
1063,1.0,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,3.9750313760628746,4
1064,1.0,0.55,0.43,0.125,0.923,0.4035,0.175,0.28300000000000003,7.764573628263497,8
1080,1.0,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8.164784154324584,8
1117,1.0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,6.9133056772552095,7
1125,1.0,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7.059829946858474,7
1131,1.0,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,8.86677535313244,9
1137,1.0,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10.066126127091415,10
