,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,8.920904288174158,9
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8.18808536811774,8
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6.119901121538439,6
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.071062011619734,8
443,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,6.122099451103941,6
544,1.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,7.797939392280393,8
574,1.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6.359326559529726,6
580,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,5.869876557216788,6
589,1.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,4.982264213693256,5
622,1.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3.0262705501606098,3
638,1.0,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,5.740527892563174,6
682,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,6.993689597531825,7
684,1.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4.199261233987503,4
757,1.0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9.093568914283173,9
786,1.0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,8.679245747654246,9
882,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8.341569295864764,8
899,1.0,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,5.731490439115391,6
926,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,9.885288455043447,10
980,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.144206224854521,8
1005,1.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,7.95038954818711,8
1025,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,7.856442059294196,8
1191,1.0,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000005,6.809702218648658,7
1237,1.0,0.215,0.15,0.055,0.041,0.015,0.009000000000000001,0.0125,3.087942913476517,3
1341,1.0,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,4.768265475369716,5
1363,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,5.947475773112046,6
1394,1.0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5.0429775738284945,5
1418,1.0,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7.0738082580460055,7
