,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
7,1.0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,16.638205564511438,17
14,1.0,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,11.19971836084867,11
26,1.0,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,9.905973286488443,10
47,1.0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13.195167880529606,13
52,1.0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,8.66437505422649,9
56,1.0,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12.362124733571909,12
97,1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9.340931667213102,9
99,1.0,0.465,0.34,0.11,0.34600000000000003,0.1425,0.073,0.113,10.630987461654554,11
112,1.0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,13.89218775417054,14
125,1.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,19.63397073439349,20
129,1.0,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10.125208687160718,10
157,1.0,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12.455969691848637,12
166,1.0,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10.214948725362957,10
169,1.0,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,17.541693779289574,18
177,1.0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13.466548660270508,13
193,1.0,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,17.98860393787928,18
205,1.0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11.485341761403237,11
218,1.0,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14.388166450710258,14
223,1.0,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,12.479787683171097,13
248,1.0,0.58,0.475,0.135,0.925,0.391,0.165,0.275,13.832862516103312,14
252,1.0,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13.234747883516116,13
284,1.0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11.317151223574674,11
339,1.0,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11.144109987290992,11
356,1.0,0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08,10.109012042234388,10
358,1.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13.175592678311924,13
366,1.0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11.124781040545102,11
369,1.0,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14.274836597227585,14
372,1.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20.04563697134592,20
398,1.0,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12.016260886824522,12
423,1.0,0.455,0.345,0.125,0.44,0.16899999999999998,0.1065,0.135,11.356804401936657,12
511,1.0,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,12.636588003184336,13
523,1.0,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11.1998000586661,11
526,1.0,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11.338578160543516,11
562,1.0,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,8.715522839902617,9
563,1.0,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12.31174967299998,12
573,1.0,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11.199653303838542,11
627,1.0,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12.117990051626204,12
639,1.0,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15.06706927082189,15
642,1.0,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,13.756520413874199,14
649,1.0,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9.335260865456544,9
654,1.0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,14.368115003413301,15
681,1.0,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,9.895390670362541,10
704,1.0,0.605,0.435,0.13,0.9025,0.4320000000000001,0.174,0.26,11.316955436195611,11
708,1.0,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10.012995098779944,10
718,1.0,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,13.333832673579465,14
742,1.0,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,13.74420742930363,14
758,1.0,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10.279931335402598,10
779,1.0,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15.602132830389113,15
798,1.0,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12.47271946457688,12
818,1.0,0.445,0.33,0.12,0.34700000000000003,0.12,0.084,0.105,11.13784380287969,11
828,1.0,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,12.302338018781288,13
836,1.0,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13.585320141681281,13
840,1.0,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15.392914644507428,15
841,1.0,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12.133775967065631,12
862,1.0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14.341588698900404,14
870,1.0,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,13.973533899731795,14
879,1.0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10.10802706270859,10
895,1.0,0.335,0.24,0.095,0.17,0.062,0.039,0.055,9.299764049522846,9
901,1.0,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13.455901376293696,13
914,1.0,0.355,0.27,0.1,0.21600000000000005,0.083,0.037000000000000005,0.075,10.05113591498335,10
920,1.0,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,17.588257439241477,18
928,1.0,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,10.575810706494972,11
951,1.0,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,14.627996650159453,15
955,1.0,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9.080072023763964,9
957,1.0,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17.510688459495633,17
972,1.0,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,20.92633898344518,21
984,1.0,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,12.65477818294794,13
990,1.0,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9.341074271601101,9
1053,1.0,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10.424313313454762,10
1054,1.0,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,11.589182137836598,12
1065,1.0,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13.03800844689946,13
1066,1.0,0.29,0.205,0.07,0.0975,0.036000000000000004,0.019,0.035,8.324847192017135,8
1067,1.0,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18.229416359456952,18
1086,1.0,0.6,0.445,0.175,1.057,0.383,0.21600000000000005,0.355,16.18482778761559,16
1105,1.0,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18.608682414498738,18
1122,1.0,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,12.987827962322557,13
