,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
237,1.0,8.5,2.0,4.0,1.1,4.6,3.1,1.06,9.9194,3.0,3.5,10.5
358,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0
996,1.0,7.1,2.1,2.8000000000000003,2.7,3.4000000000000004,2.3,1.11,9.9405,3.35,6.4,10.2
1048,1.0,8.5,2.2,3.4000000000000004,0.7,4.0,0.5,0.25,9.918,3.04,3.7,10.5
1092,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0
1257,1.0,6.9,3.0,3.5999999999999996,4.5,5.4,3.1,2.03,9.9513,3.4,5.699999999999999,10.4
1633,1.0,7.6,4.8,3.7,0.8,3.7000000000000006,0.4,1.0,9.902,3.03,3.9000000000000004,11.4
1670,1.0,5.9,2.1,2.8000000000000003,4.6,5.3,4.0,1.99,9.963999999999999,3.72,7.0,10.0
1806,1.0,6.5,3.3000000000000003,7.199999999999999,1.1,6.1,0.7,1.51,9.93,3.09,5.699999999999999,9.5
2413,1.0,6.1,2.8000000000000003,2.5,12.9,5.4,3.4,1.89,9.979,3.25,4.3,9.0
2634,1.0,6.7,3.1,3.1,9.9,4.0,1.0,1.75,9.953,3.46,5.5,11.4
2828,1.0,5.9,2.2,4.5,22.6,12.0,5.5,1.22,9.9636,3.1,3.5,12.8
2837,1.0,7.1,2.1,2.8000000000000003,2.7,3.4000000000000004,2.3,1.11,9.9405,3.35,6.4,10.2
3076,1.0,7.3,2.8000000000000003,4.2,1.2,3.3000000000000003,2.9,1.42,9.9205,3.17,4.3,10.7
3174,1.0,6.8,2.7,2.9,4.6,4.6,0.6,0.88,9.9458,3.34,4.8,10.6
3536,1.0,7.6,2.3000000000000003,2.6,15.3,6.7,3.2,1.66,9.986,3.03,4.4,9.2
3875,1.0,8.5,1.7000000000000002,4.9,8.8,4.8,2.3,1.08,9.947000000000001,2.88,3.4000000000000004,10.5
4111,1.0,6.4,3.5,3.5,5.6,3.4000000000000004,0.9,1.48,9.9441,3.17,5.0,9.8
4371,1.0,6.7,6.4,3.0,1.2,3.0,1.8,0.76,9.892,3.16,6.0,12.9
4381,1.0,6.5,2.8000000000000003,2.8000000000000003,8.5,4.7,5.4,2.1,9.962,3.09,5.4,8.9
