1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.233908
1.538462,0.03581476
1.428571,0.008496119
1.333333,0.004513165
1.25,0.006447263
1.176471,0.01336022
1.111111,0.02206559
1.052632,0.01617947
1.0,0.008423354
0.952381,0.004232196
0.9090909,0.002128023
0.8695652,0.001067691
0.8333333,5.383101E-4
0.8,2.758421E-4
0.7692308,1.447166E-4
0.7407407,7.849182E-5
0.7142857,4.450986E-5
0.6896552,2.655598E-5
0.6666667,1.660789E-5
0.6451613,1.082204E-5
0.625,7.287163E-6
0.6060606,5.040546E-6
0.5882353,3.595605E-6
0.5714286,2.651003E-6
0.5555556,2.005E-6
0.5405405,1.560446E-6
0.5263158,1.246889E-6
0.5128205,1.017949E-6
0.5,8.519811E-7
0.4878049,7.272631E-7
0.4761905,6.21301E-7
0.4651163,5.353044E-7
0.4545455,4.797817E-7
0.4444444,4.243737E-7
0.4347826,3.775953E-7
0.4255319,3.398081E-7
0.4166667,3.130255E-7
