1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.213843
1.538462,0.03270292
1.428571,0.007500911
1.333333,0.003438187
1.25,0.004091889
1.176471,0.007987608
1.111111,0.01394487
1.052632,0.0123703
1.0,0.00681096
0.952381,0.003462812
0.9090909,0.001735328
0.8695652,8.662406E-4
0.8333333,4.369716E-4
0.8,2.253745E-4
0.7692308,1.193414E-4
0.7407407,6.527344E-5
0.7142857,3.724188E-5
0.6896552,2.231416E-5
0.6666667,1.401458E-5
0.6451613,9.172223E-6
0.625,6.203051E-6
0.6060606,4.317257E-6
0.5882353,3.090422E-6
0.5714286,2.269371E-6
0.5555556,1.717496E-6
0.5405405,1.337984E-6
0.5263158,1.076908E-6
0.5128205,8.749786E-7
0.5,7.272415E-7
0.4878049,6.193818E-7
0.4761905,5.333824E-7
0.4651163,4.613788E-7
0.4545455,4.096706E-7
0.4444444,3.612167E-7
0.4347826,3.254419E-7
0.4255319,2.901983E-7
0.4166667,2.667166E-7
