1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0
1.538462,0
1.428571,0
1.333333,0
1.25,0
1.176471,0.4220272
1.111111,0.1567765
1.052632,0.08101431
1,0.04707718
0.952381,0.02573423
0.9090909,0.01301885
0.8695652,0.006369631
0.8333333,0.003121544
0.8,0.001558138
0.7692308,0.0007969313
0.7407407,0.0004186039
0.7142857,0.0002260639
0.6896552,0.0001258811
0.6666667,7.208432E-05
0.6451613,4.286107E-05
0.625,2.642709E-05
0.6060606,1.689374E-05
0.5882353,1.135386E-05
0.5714286,7.937532E-06
0.5555556,5.675246E-06
0.5405405,4.253414E-06
0.5263158,0.000003326
0.5128205,2.62885E-06
0.5,2.115905E-06
0.4878049,0.000001833
0.4761905,1.511634E-06
0.4651163,1.289162E-06
0.4545455,1.126547E-06
0.4444444,9.661674E-07
0.4347826,0.000000905
0.4255319,7.453079E-07
0.4166667,6.73192E-07
