1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2761603
1.538462,0.04322092
1.428571,0.01179145
1.333333,0.009586341
1.25,0.01779182
1.176471,0.03779087
1.111111,0.04419128
1.052632,0.02396992
1.0,0.01163364
0.952381,0.005860121
0.9090909,0.003009888
0.8695652,0.001524871
0.8333333,7.624877E-4
0.8,3.829433E-4
0.7692308,1.964768E-4
0.7407407,1.04682E-4
0.7142857,5.857776E-5
0.6896552,3.451833E-5
0.6666667,2.131E-5
0.6451613,1.369413E-5
0.625,9.098057E-6
0.6060606,6.253974E-6
0.5882353,4.426641E-6
0.5714286,3.263918E-6
0.5555556,2.462363E-6
0.5405405,1.938369E-6
0.5263158,1.548955E-6
0.5128205,1.266913E-6
0.5,1.083052E-6
0.4878049,9.116471E-7
0.4761905,7.858923E-7
0.4651163,6.834563E-7
0.4545455,6.003434E-7
0.4444444,5.394787E-7
0.4347826,4.808179E-7
0.4255319,4.356257E-7
0.4166667,3.900043E-7
