1000/T (1/K),Ignition_time_1_by_max_dT/dt (sec)
1.666667,0
1.538462,0
1.428571,0
1.333333,0
1.25,0
1.176471,0.8617461
1.111111,0.2750324
1.052632,0.1123052
1,0.05697645
0.952381,0.03326383
0.9090909,0.02011252
0.8695652,0.01151162
0.8333333,0.006085494
0.8,0.003046253
0.7692308,0.001489107
0.7407407,0.0007291033
0.7142857,0.0003654937
0.6896552,0.0001914344
0.6666667,0.0001059448
0.6451613,6.253551E-05
0.625,3.911249E-05
0.6060606,2.604272E-05
0.5882353,1.786092E-05
0.5714286,1.282015E-05
0.5555556,0.000009482
0.5405405,0.000007161
0.5263158,5.665052E-06
0.5128205,4.473863E-06
0.5,0.000003642
0.4878049,2.947781E-06
0.4761905,2.531576E-06
0.4651163,2.017074E-06
0.4545455,1.747617E-06
0.4444444,1.469455E-06
0.4347826,1.260205E-06
0.4255319,1.030417E-06
0.4166667,9.694356E-07
