1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.238159
1.538462,0.03639103
1.428571,0.008803528
1.333333,0.005073981
1.25,0.007857707
1.176471,0.01663563
1.111111,0.02627928
1.052632,0.01775507
1.0,0.00894425
0.952381,0.004395914
0.9090909,0.00217829
0.8695652,0.001086584
0.8333333,5.489162E-4
0.8,2.828604E-4
0.7692308,1.492919E-4
0.7407407,8.142025E-5
0.7142857,4.639587E-5
0.6896552,2.777128E-5
0.6666667,1.74082E-5
0.6451613,1.13436E-5
0.625,7.622467E-6
0.6060606,5.269262E-6
0.5882353,3.756982E-6
0.5714286,2.760781E-6
0.5555556,2.099279E-6
0.5405405,1.629804E-6
0.5263158,1.31268E-6
0.5128205,1.082436E-6
0.5,9.040413E-7
0.4878049,7.670396E-7
0.4761905,6.646435E-7
0.4651163,5.797241E-7
0.4545455,5.118973E-7
0.4444444,4.593549E-7
0.4347826,4.062509E-7
0.4255319,3.637432E-7
0.4166667,3.286501E-7
