1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.1959606
1.538462,0.03005603
1.428571,0.006393661
1.333333,0.002089914
1.25,0.001399612
1.176471,0.001933806
1.111111,0.003447562
1.052632,0.004695906
1.0,0.003288858
0.952381,0.001800774
0.9090909,9.478516E-4
0.8695652,4.946662E-4
0.8333333,2.581961E-4
0.8,1.363589E-4
0.7692308,7.349816E-5
0.7407407,4.06787E-5
0.7142857,2.329365E-5
0.6896552,1.390883E-5
0.6666667,8.67771E-6
0.6451613,5.641523E-6
0.625,3.801304E-6
0.6060606,2.640751E-6
0.5882353,1.879902E-6
0.5714286,1.375149E-6
0.5555556,1.028956E-6
0.5405405,7.923464E-7
0.5263158,6.268406E-7
0.5128205,5.036841E-7
0.5,4.156312E-7
0.4878049,3.475557E-7
0.4761905,2.950738E-7
0.4651163,2.588723E-7
0.4545455,2.240485E-7
0.4444444,2.00257E-7
0.4347826,1.734535E-7
0.4255319,1.577776E-7
0.4166667,1.420322E-7
