1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2383131
1.538462,0.03617456
1.428571,0.007927518
1.333333,0.00310323
1.25,0.003127829
1.176471,0.005720908
1.111111,0.01101035
1.052632,0.009990044
1.0,0.0053973
0.952381,0.002723175
0.9090909,0.001397349
0.8695652,7.264212E-4
0.8333333,3.78747E-4
0.8,1.991394E-4
0.7692308,1.065988E-4
0.7407407,5.865877E-5
0.7142857,3.3515E-5
0.6896552,2.001418E-5
0.6666667,1.24872E-5
0.6451613,8.09757E-6
0.625,5.431387E-6
0.6060606,3.740574E-6
0.5882353,2.649027E-6
0.5714286,1.925867E-6
0.5555556,1.441861E-6
0.5405405,1.108626E-6
0.5263158,8.829336E-7
0.5128205,7.073929E-7
0.5,5.854497E-7
0.4878049,4.954903E-7
0.4761905,4.216791E-7
0.4651163,3.683197E-7
0.4545455,3.086285E-7
0.4444444,2.780026E-7
0.4347826,2.52E-7
0.4255319,2.261038E-7
0.4166667,2.043728E-7
