1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0
1.538462,0.2506427
1.428571,0.1431437
1.333333,0.3501518
1.25,0.4690984
1.176471,0.1994328
1.111111,0.07137975
1.052632,0.03285727
1,0.01933854
0.952381,0.0118688
0.9090909,0.006761418
0.8695652,0.003598243
0.8333333,0.001864517
0.8,0.0009688869
0.7692308,0.0005120963
0.7407407,0.0002769297
0.7142857,0.0001535082
0.6896552,8.726552E-05
0.6666667,5.092667E-05
0.6451613,3.054453E-05
0.625,0.000018925
0.6060606,0.000012021
0.5882353,0.000007935
0.5714286,5.419496E-06
0.5555556,3.894887E-06
0.5405405,2.851202E-06
0.5263158,2.149401E-06
0.5128205,1.659532E-06
0.5,1.348889E-06
0.4878049,1.120475E-06
0.4761905,9.070911E-07
0.4651163,7.780919E-07
0.4545455,6.67455E-07
0.4444444,5.513841E-07
0.4347826,0.000000497
0.4255319,4.216917E-07
0.4166667,3.772546E-07
