1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0
1.538462,0
1.428571,0
1.333333,0
1.25,0
1.176471,0.4379783
1.111111,0.135539
1.052632,0.05289002
1,0.02579526
0.952381,0.01492258
0.9090909,0.009371224
0.8695652,0.00581554
0.8333333,0.003367597
0.8,0.001821986
0.7692308,0.0009477171
0.7407407,0.0004868359
0.7142857,0.0002525336
0.6896552,0.0001347763
0.6666667,7.507647E-05
0.6451613,4.393087E-05
0.625,2.709826E-05
0.6060606,1.763509E-05
0.5882353,1.197767E-05
0.5714286,8.489529E-06
0.5555556,6.143553E-06
0.5405405,0.000004617
0.5263158,3.529291E-06
0.5128205,2.804542E-06
0.5,2.183789E-06
0.4878049,1.793349E-06
0.4761905,0.000001462
0.4651163,1.259522E-06
0.4545455,1.019564E-06
0.4444444,9.083393E-07
0.4347826,7.603181E-07
0.4255319,6.334136E-07
0.4166667,5.577675E-07
