1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.3401516
1.538462,0.05468064
1.428571,0.01897784
1.333333,0.02479362
1.25,0.05899515
1.176471,0.06852274
1.111111,0.03509303
1.052632,0.01494236
1.0,0.007389806
0.952381,0.004309085
0.9090909,0.002572304
0.8695652,0.001433526
0.8333333,7.627776E-4
0.8,4.056637E-4
0.7692308,2.206732E-4
0.7407407,1.237816E-4
0.7142857,7.176217E-5
0.6896552,4.314114E-5
0.6666667,2.692724E-5
0.6451613,1.748494E-5
0.625,1.178043E-5
0.6060606,8.212949E-6
0.5882353,5.913848E-6
0.5714286,4.355886E-6
0.5555556,3.31615E-6
0.5405405,2.54005E-6
0.5263158,1.992868E-6
0.5128205,1.599597E-6
0.5,1.306951E-6
0.4878049,1.071137E-6
0.4761905,8.865794E-7
0.4651163,7.67067E-7
0.4545455,6.640192E-7
0.4444444,5.55583E-7
0.4347826,5.137484E-7
0.4255319,4.432623E-7
0.4166667,4.053309E-7
