1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.357457
1.538462,0.0659202
1.428571,0.04018677
1.333333,0.08264097
1.25,0.1777525
1.176471,0.1445645
1.111111,0.07034028
1.052632,0.03059968
1.0,0.01417258
0.952381,0.007301274
0.9090909,0.004083234
0.8695652,0.002343406
0.8333333,0.001323439
0.8,7.280537E-4
0.7692308,3.929434E-4
0.7407407,2.106426E-4
0.7142857,1.139947E-4
0.6896552,6.334031E-5
0.6666667,3.682589E-5
0.6451613,2.264362E-5
0.625,1.471351E-5
0.6060606,1.013087E-5
0.5882353,7.266049E-6
0.5714286,5.417023E-6
0.5555556,4.174642E-6
0.5405405,3.291016E-6
0.5263158,2.677308E-6
0.5128205,2.185378E-6
0.5,1.842514E-6
0.4878049,1.570744E-6
0.4761905,1.340789E-6
0.4651163,1.191723E-6
0.4545455,1.02096E-6
0.4444444,9.315313E-7
0.4347826,8.447324E-7
0.4255319,7.332325E-7
0.4166667,6.706225E-7
