1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2588648
1.538462,0.03959669
1.428571,0.01014097
1.333333,0.007037879
1.25,0.01235146
1.176471,0.02693405
1.111111,0.03721291
1.052632,0.02180304
1.0,0.01052316
0.952381,0.005103355
0.9090909,0.002529935
0.8695652,0.001265324
0.8333333,6.389514E-4
0.8,3.281872E-4
0.7692308,1.726294E-4
0.7407407,9.40267E-5
0.7142857,5.357666E-5
0.6896552,3.202715E-5
0.6666667,2.000032E-5
0.6451613,1.295315E-5
0.625,8.659518E-6
0.6060606,5.958222E-6
0.5882353,4.229497E-6
0.5714286,3.09925E-6
0.5555556,2.356265E-6
0.5405405,1.836844E-6
0.5263158,1.48296E-6
0.5128205,1.211758E-6
0.5,1.011005E-6
0.4878049,8.538447E-7
0.4761905,7.407502E-7
0.4651163,6.497954E-7
0.4545455,5.739159E-7
0.4444444,5.144747E-7
0.4347826,4.495322E-7
0.4255319,4.112668E-7
0.4166667,3.759944E-7
