Unnamed: 0,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs),Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
0,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1.0,CCCCCCC,0.2,431.0,Species,2.2,2.07,,Stanford,15.3,±5,CH,1547,±1,100,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
1,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,2.06,,Stanford,15.3,±5,CH,1503,±1,100,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
3,n_Alkane_Oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,2.04,,Stanford,8.9,±5,OH,1640,,99,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
4,iso_octane_heptane,Ar,99.4,1.0,CCCCCCC,0.05,216.0,Species,0.55,1.61,,Stanford,15.3,,CH3,1546,±1,162,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
5,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431.0,Species,8.8,1.23,,Stanford,15.3,±5,CH,1396,±1,161,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
7,blend_surrogate_fuels,N2,77.52600000000002,1.0,CCCCCCC,1.874,306.7,Species,20.6,60.0,,Stanford,5.0,,OH,923,±1.8,244,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
9,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431.0,Species,4.8,1.23,,Stanford,15.3,±5,CH,1491,±1,137,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
10,n_Alkane_Oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,3.8,,Stanford,8.9,±5,OH,1649,,73,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
11,blend_surrogate_fuels,N2,77.52600000000002,1.0,CCCCCCC,1.874,306.7,Species,20.6,53.9,,Stanford,5.0,,OH,909,±1.8,254,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
12,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431.0,Species,4.4,1.25,,Stanford,15.3,±5,CH,1476,±1,163,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
